product,category,avg_compound,avg_pos,avg_neg,avg_neu,positive_reviews,negative_reviews,neutral_reviews,total_reviews,overall_sentiment
Aveeno Face Calm and Restore Nourishing Oat Cleanser 200ml,cleanser,0.5397000000000001,0.1895,0.014849999999999999,0.44580000000000003,13,0,7,20,Positive
Avene Gentle Milk Cleanser 200ml,cleanser,0.4948,0.2535,0.02015,0.5763499999999999,15,0,5,20,Positive
Avene Hydrance Aqua Cream-In-Gel Moisturiser 50ml,moisturizer,0.31245,0.1565,0.0,0.3435,1,0,1,2,Positive
Bioderma Sensibio Micellar Oil Cleanser Makeup Remover for Sensitive Skin 150ml,cleanser,0.4619,0.22174999999999997,0.02545,0.5028,14,1,5,20,Positive
Biore Clean Detox Daily Moisturiser 100ml,moisturizer,0.0,0.0,0.0,0.0,0,0,1,1,Neutral
COSRX AHA/BHA Clarifying Treatment Toner 150ml,toner,0.5629,0.18725,0.015,0.7975,3,0,1,4,Positive
Cancer Council SPF 50 Sport Dry Touch & Sweat Resistant 110ml,sunscreen,0.0,0.0,0.0,0.0,0,0,3,3,Neutral
Cancer Council SPF 50+ Everyday Value 1 Litre,sunscreen,0.509425,0.2555,0.018,0.47650000000000003,3,0,1,4,Positive
Cancer Council SPF 50+ Face & Body Moisturiser 150ml,sunscreen,0.404775,0.21125,0.09375,0.6945,3,1,0,4,Positive
Cancer Council SPF 50+ Face Day Wear Serum 50ml,serum,0.5859,0.21025,0.05125,0.73825,3,0,1,4,Positive
Cancer Council SPF 50+ Face Day Wear Serum 50ml,sunscreen,0.5859,0.21025,0.05125,0.73825,3,0,1,4,Positive
Cancer Council SPF 50+ Kids 110ml Tube,sunscreen,0.660925,0.26025,0.013,0.727,4,0,0,4,Positive
Cancer Council SPF 50+ Kids 200ml Finger Pump,sunscreen,0.4458,0.15475,0.0,0.8452500000000001,3,0,1,4,Positive
Cancer Council SPF 50+ Kids 500ml Pump,sunscreen,0.5872,0.20425,0.027,0.76875,3,0,1,4,Positive
Cancer Council SPF 50+ Moisturising 200ml Pump,sunscreen,0.80145,0.336,0.04375,0.62,4,0,0,4,Positive
Cancer Council SPF 50+ Ultra Pump 200ml,sunscreen,0.26489999999999997,0.07766666666666668,0.02,0.23566666666666666,1,0,2,3,Positive
CeraVe Blemish Control Cleanser 236ml,cleanser,0.503005,0.28545,0.023100000000000002,0.6414500000000001,16,2,2,20,Positive
CeraVe Daily Moisturising Lotion 1L,moisturizer,0.710685,0.25075,0.01645,0.73275,18,0,2,20,Positive
CeraVe Foaming Cleanser 236ml,cleanser,0.73236,0.2858,0.034350000000000006,0.67965,20,0,0,20,Positive
CeraVe Hydrating Cleanser 236ml,cleanser,0.5401849999999999,0.26745,0.0371,0.6955,17,1,2,20,Positive
CeraVe Hydrating Cream To Foam Cleanser 236ml,cleanser,0.671455,0.34175,0.022799999999999997,0.63545,20,0,0,20,Positive
CeraVe Hydrating Foaming Oil Cleanser 473ml,cleanser,0.645215,0.2692,0.010600000000000002,0.7201000000000001,17,1,2,20,Positive
CeraVe Hydrating Hyaluronic Acid Serum 30ml,serum,0.48071,0.24380000000000002,0.028349999999999997,0.7278,16,1,3,20,Positive
CeraVe SA Smoothing Cleanser 236ml,cleanser,0.56663,0.2294,0.0336,0.737,18,0,2,20,Positive
Cetaphil Moisture Cream 100g,moisturizer,0.515985,0.23304999999999998,0.027699999999999995,0.73925,17,1,2,20,Positive
DermaVeen Face Hydrating Moisturiser 75ml,moisturizer,0.58931,0.27244999999999997,0.014199999999999999,0.7133499999999999,18,0,2,20,Positive
DermaVeen Sensitive Sun SPF 50+ Moisturising Face & Body Cream 200g,sunscreen,0.7492,0.24695,0.039850000000000003,0.71325,19,0,1,20,Positive
Dermaveen Sensitive Sun SPF 50+ Moisturising Face & Body Cream 500g,sunscreen,0.45182,0.1995,0.015050000000000003,0.48545,13,0,7,20,Positive
Dr LeWinn's Refining Toner 120ml,toner,0.664175,0.31375,0.0,0.68625,4,0,0,4,Positive
Dr LeWinn's Reversaderm Collagen Accelerating Serum 30ml,serum,0.53255,0.28825,0.03625,0.6755,3,1,0,4,Positive
Ego QV Face Gentle Cleanser 250g NEW,cleanser,0.8687950000000001,0.3047,0.0317,0.6636,20,0,0,20,Positive
Essano Collagen Boost Serum 30ml,serum,0.676625,0.271,0.03025,0.69875,4,0,0,4,Positive
Essano Hydration Rosehip Super Serum 30ml,serum,0.8141,0.261,0.01325,0.72575,4,0,0,4,Positive
Garnier Skin Active Hyaluronic Aloe Night Jelly Moisturiser 50ml,moisturizer,0.16215,0.06075,0.0205,0.1685,1,0,3,4,Positive
Garnier Skin Active Hyaluronic Aloe Repumpling Serum 30ml,serum,0.691825,0.2505,0.00475,0.6447999999999999,18,0,2,20,Positive
Garnier Vitamin C Brightening Serum 30ml,serum,0.976425,0.22575,0.018000000000000002,0.75625,4,0,0,4,Positive
Goat Body Wash With Coconut Oil 500ml,moisturizer,0.7716,0.399,0.0,0.601,4,0,0,4,Positive
Hamilton SPF 50+ Everyday Face 200ml,sunscreen,0.28252499999999997,0.13899999999999998,0.0905,0.77075,2,2,0,4,Positive
Hamilton SPF 50+ Everyday Face Cream 75g,sunscreen,0.639625,0.17700000000000002,0.06749999999999999,0.7555000000000001,3,0,1,4,Positive
Hawaiian Tropic Silk Hydration Lotion 50+ 180ml,sunscreen,0.77125,0.291,0.0,0.709,4,0,0,4,Positive
Healthy Care Anti Ageing Gold Flake Face Serum 50ml,serum,0.756875,0.27925,0.0,0.72075,4,0,0,4,Positive
Iâ€™m From Rice Toner 150ml,toner,0.6369,0.51,0.0,0.49,1,0,0,1,Positive
Jergens Natural Glow Skin Firming Moisturiser Medium To Deep Skin Tones 221ml,moisturizer,0.627275,0.20750000000000002,0.057999999999999996,0.7345,4,0,0,4,Positive
Jergens Ultra Healing Moisturiser 621ml,moisturizer,0.5088,0.33125000000000004,0.092,0.57675,3,1,0,4,Positive
L'Oreal Age Perfect Collagen Cleanser 150ml,cleanser,0.761335,0.19490000000000002,0.02325,0.78185,18,1,1,20,Positive
L'Oreal Age Perfect Le Duo Serum 30ml,serum,0.803865,0.2142,0.01765,0.7682,19,1,0,20,Positive
L'Oreal Men Expert Barber Club Short Beard and Face Moisturiser 50ml,moisturizer,0.4425333333333334,0.21966666666666668,0.00475,0.3589166666666667,7,0,5,12,Positive
L'Oreal Paris Bright Reveal Dark Spot Cleanser 150ml,cleanser,0.626865,0.19729999999999998,0.0097,0.643,16,1,3,20,Positive
L'Oreal Paris Power Serums Revitalift Filler and Laser Day & Night Gift Set,serum,0.299025,0.2265,0.0,0.2735,2,0,2,4,Positive
L'Oreal Paris Revitalift Concentrated Serum 30ml,serum,0.60168,0.2434,0.013300000000000001,0.7432000000000001,19,0,1,20,Positive
L'Oreal Paris Revitalift Filler HA Cleanser 150ml,cleanser,0.716315,0.16799999999999998,0.0042,0.7278,18,0,2,20,Positive
L'Oreal Paris Revitalift Tri-Peptides Laser Serum 30ml,serum,0.8622249999999999,0.17245,0.02275,0.80475,19,0,1,20,Positive
La Roche Posay Anthelios Invisible Fluid SPF 50+ 50ml,sunscreen,0.379965,0.1887,0.07135,0.7401,15,4,1,20,Positive
La Roche Posay Anthelios Invisible Spray SPF50+ 200ml,sunscreen,0.661075,0.20500000000000002,0.0185,0.7765,3,0,1,4,Positive
La Roche Posay Anthelios Wet Skin Sunscreen SPF 50+ Sustainable Tube 200ml,sunscreen,-0.150725,0.12875,0.07300000000000001,0.7985,1,2,1,4,Negative
La Roche Posay Effaclar Foaming Gel 400ml,cleanser,0.718425,0.38649999999999995,0.01725,0.596,4,0,0,4,Positive
La Roche Posay Effaclar Micro Peeling Purifying Gel 200ml,cleanser,0.67006,0.3289,0.02975,0.6413,19,1,0,20,Positive
La Roche Posay Effaclar Ultra Concentrate Serum 30ml,serum,0.617,0.23074999999999998,0.05475,0.7145,4,0,0,4,Positive
La Roche Posay Mela B3 Cleanser 200ml,cleanser,0.43363500000000005,0.2051,0.05095000000000001,0.6439,13,3,4,20,Positive
La Roche Posay Mela B3 Serum 30ml,serum,0.554185,0.19435,0.017249999999999998,0.7883,19,1,0,20,Positive
La Roche Posay Retinol B3 Anti-Ageing Serum 30ml,serum,0.5393600000000001,0.2899,0.024149999999999998,0.6859500000000001,17,1,2,20,Positive
La Roche-Posay Anthelios ULTRA SPF50+ Face Sunscreen For Dry Skin 50ml,sunscreen,0.638785,0.25465,0.03825,0.7071500000000001,18,2,0,20,Positive
La Roche-Posay Effaclar Purifying Foaming Gel Anti-Acne Cleanser 200mL,cleanser,0.677435,0.24359999999999998,0.008249999999999999,0.7481,19,1,0,20,Positive
La Roche-Posay Hyalu B5 Hyaluronic Acid Anti-Ageing Serum 30ml,serum,0.44137000000000004,0.2049,0.04375,0.7513,14,4,2,20,Positive
La Roche-Posay Soothing Toner 200mL,toner,0.47297,0.2602,0.0263,0.6134999999999999,16,1,3,20,Positive
La Roche-Posay Toleriane Caring Wash Cleanser 200ml,cleanser,0.445015,0.2641,0.03505,0.701,15,3,2,20,Positive
Le Tan SPF 50+ Coconut Sunscreen 1L,sunscreen,0.7187250000000001,0.38175000000000003,0.00625,0.61175,4,0,0,4,Positive
MCoBeauty AHA/BHA Pore Refining Toner,toner,0.46691000000000005,0.1943,0.0349,0.5208999999999999,14,1,5,20,Positive
MCoBeauty Hydrate & Glow Ultra Dew Serum,serum,0.86775,0.34975,0.0,0.65025,4,0,0,4,Positive
NIVEA Cocoa & Indulging Body Lotion 400ml,moisturizer,0.6074849999999999,0.30670000000000003,0.0126,0.5307000000000001,16,1,3,20,Positive
NIVEA Creme Moisturiser Blue Tin 60ml,moisturizer,0.63931,0.22444999999999998,0.009049999999999999,0.7665,18,0,2,20,Positive
NIVEA Daily Essentials Refreshing Face Toner 200ml,toner,0.5300849999999999,0.26195,0.01245,0.52555,13,0,7,20,Positive
NIVEA Rich Nourishing Body Lotion 250ml,moisturizer,0.49658499999999994,0.1533,0.0262,0.7205,17,1,2,20,Positive
NIVEA Rich Nourishing Body Lotion 75ml,moisturizer,0.7699230769230769,0.18669230769230769,0.019923076923076925,0.7164615384615385,12,0,1,13,Positive
NIVEA Soft Moisturising Cream 75ml,moisturizer,0.7029799999999999,0.19870000000000002,0.0154,0.7859,17,0,3,20,Positive
Natio Skin Toner Rosewater & Chamomile 250mL,toner,0.507255,0.27654999999999996,0.02235,0.6511,16,2,2,20,Positive
Neutrogena Alcohol Free Toner 150ml,toner,0.31011500000000003,0.1505,0.0172,0.5323,10,2,8,20,Positive
Neutrogena Hydro Boost Hyaluronic Acid Serum 30mL,serum,0.43559000000000003,0.209,0.01005,0.48100000000000004,13,0,7,20,Positive
Olay Complete UV Protection Moisturiser Lotion Sensitive SPF15 150mL,moisturizer,0.444075,0.15975,0.03375,0.8065,3,1,0,4,Positive
Redwin Sorbolene Daily Moisturiser 550ml,moisturizer,0.20315,0.16225,0.0,0.33775,1,0,3,4,Positive
Redwin Sorbolene Moisturiser with Vitamin E 100g,moisturizer,0.5137333333333333,0.22566666666666668,0.0,0.441,2,0,1,3,Positive
RoC Multi Correxion Hydrate & Plump Night Serum Capsules 10 Pieces,serum,0.0,0.0,0.0,0.0,0,0,1,1,Neutral
SKIN1004 Madagascar Centella Hyalu-Cica Brightening Toner 210ml,toner,0.732245,0.3032,0.020800000000000003,0.626,19,0,1,20,Positive
SKIN1004 Madagascar Centella Toning Toner 210ml,toner,0.31872500000000004,0.1905,0.0175,0.792,2,1,1,4,Positive
Sukin Purely Ageless Firming Mist Toner 125ml,toner,0.7046749999999999,0.40675,0.068,0.52525,4,0,0,4,Positive
Sukin Signature Foaming Facial Cleanser Pump 125ml,cleanser,0.387975,0.40425,0.04625,0.5495,3,1,0,4,Positive
Sukin Signature Hydrating Mist Toner 250ml,toner,0.48872499999999997,0.15799999999999997,0.03925,0.8029999999999999,3,0,1,4,Positive
Swisse Skincare Niacinamide 10% Skin Renewal Serum 30ml,serum,0.645045,0.2395,0.0023,0.7582,18,0,2,20,Positive
Swisse Skincare Rose Hip Nourishing Cream Moisturiser 125ml,moisturizer,0.924775,0.4155,0.00975,0.57475,4,0,0,4,Positive
Thayers Anti-Blemish Toner 355ml,toner,0.39865,0.1975,0.013166666666666667,0.28933333333333333,3,0,3,6,Positive
Thayers Hydrating Milky Cleanser 237ml,cleanser,0.49350000000000005,0.19333333333333336,0.0,0.47333333333333333,2,0,1,3,Positive
Thayers Hydrating Milky Toner With Snow Mushroom & Hyaluronic Acid 355ml,toner,0.30629,0.14515,0.0062,0.49865000000000004,9,1,10,20,Positive
Thayers Pore Refining 2% AHA Toner 355ml,toner,0.27918000000000004,0.1434,0.010199999999999999,0.2464,2,0,3,5,Positive
Thayers Rose Petal Alcohol-Free Mist Toner 237ml,toner,0.48335,0.22925,0.0,0.52075,3,0,1,4,Positive
Thayers Rose Petal Alcohol-Free Toner 355ml,toner,0.515435,0.23685,0.0248,0.63845,15,1,4,20,Positive
Thursday Plantation Tea Tree & Witch Hazel Face Toner 100mL,toner,0.681425,0.2195,0.02325,0.75725,4,0,0,4,Positive
Trilogy Hydrating Mist Toner 100ml,toner,0.89455,0.265,0.018,0.71675,4,0,0,4,Positive
VB For Men Face Moisturiser 100ml,moisturizer,0.2202,0.163,0.0,0.337,1,0,1,2,Positive
